index_caracteristique_interieure;surface_carrez;type_local;nombre_ pieces_principales;index_adresse
4302;34.34;Appartement;1;4302
4303;141.89;Appartement;3;4303
4304;23.93;Appartement;1;4304
4305;31.27;Appartement;1;4305
4306;20.2;Appartement;1;4306
4307;39.51;Appartement;2;4307
4308;62.74;Appartement;4;4308
4309;81.67;Appartement;3;4309
4310;69.85;Appartement;4;4310
4311;54.29;Appartement;3;4311
4312;49.78;Appartement;2;4312
4313;101.64;Appartement;5;4313
4314;58.66;Appartement;3;4314
4315;31.05;Appartement;1;4315
4316;46.9;Appartement;2;4316
4317;45.36;Appartement;2;4317
4318;53.78;Appartement;4;4318
4319;247.38;Appartement;3;4319
4320;61.61;Appartement;3;4320
4321;51.84;Appartement;2;4321
4322;91.2;Appartement;3;4322
4323;53.55;Appartement;3;4323
4324;118.32;Appartement;6;4324
4325;130;Appartement;4;4325
4326;87.73;Appartement;4;4326
4327;55.22;Appartement;3;4327
4328;52.36;Appartement;2;4328
4329;37.76;Appartement;2;4329
4330;84.56;Appartement;3;4330
4331;59.51;Appartement;3;4331
4332;45.03;Appartement;2;4332
4333;28.58;Appartement;1;4333
4334;55.53;Appartement;2;4334
4335;36.21;Appartement;2;4335
4336;24.78;Appartement;1;4336
4337;59.81;Appartement;3;4337
4338;65.16;Appartement;3;4338
4339;20.6;Appartement;1;4339
4340;78.56;Appartement;3;4340
4341;105.96;Appartement;3;4341
4342;36.6;Appartement;2;4342
4343;103.79;Appartement;4;4343
4344;37.4;Appartement;2;4344
4345;46.68;Maison;2;4345
4346;81.43;Appartement;3;4346
4347;95;Maison;4;4347
4348;42.75;Appartement;2;4348
4349;99.35;Appartement;5;4349
4350;65.12;Maison;3;4350
4351;42.06;Appartement;2;4351
4352;48.04;Appartement;2;4352
4353;54.5;Appartement;3;4353
4354;73;Maison;3;4354
4355;46.66;Appartement;2;4355
4356;39.3;Appartement;2;4356
4357;47.09;Appartement;2;4357
4358;37.64;Appartement;2;4358
4359;36.32;Appartement;2;4359
4360;89.62;Maison;2;4360
4361;93.77;Appartement;5;4361
4362;48.32;Appartement;2;4362
4363;36.9;Appartement;2;4363
4364;16.96;Appartement;2;4364
4365;51.1;Appartement;3;4365
4366;69.14;Appartement;2;4366
4367;96.21;Maison;5;4367
4368;32;Appartement;1;4368
4369;127.96;Appartement;5;4369
4370;105.03;Appartement;4;4370
4371;67.23;Appartement;4;4371
4372;79.63;Appartement;4;4372
4373;36.08;Appartement;2;4373
4374;57.19;Appartement;2;4374
4375;132;Appartement;4;4375
4376;24.11;Appartement;2;4376
4377;77.67;Appartement;3;4377
4378;60.07;Appartement;4;4378
4379;65.14;Appartement;3;4379
4380;73.64;Appartement;3;4380
4381;83.07;Appartement;5;4381
4382;83.36;Maison;4;4382
4383;94.96;Maison;4;4383
4384;79.82;Appartement;5;4384
4385;52.48;Appartement;3;4385
4386;68.1;Appartement;4;4386
4387;30.83;Appartement;2;4387
4388;80.28;Appartement;5;4388
4389;48.86;Appartement;2;4389
4390;63.81;Appartement;3;4390
4391;58.12;Appartement;2;4391
4392;17.47;Appartement;2;4392
4393;71.71;Appartement;4;4393
4394;65.99;Appartement;4;4394
4395;92.88;Appartement;4;4395
4396;72.78;Appartement;4;4396
4397;117.8;Appartement;4;4397
4398;41.84;Appartement;2;4398
4399;42.97;Appartement;2;4399
4400;41.08;Appartement;2;4400
4401;97.21;Appartement;3;4401
4402;31.25;Appartement;1;4402
4403;44;Appartement;2;4403
4404;82.97;Maison;4;4404
4405;92.04;Appartement;4;4405
4406;77;Appartement;4;4406
4407;70.07;Appartement;3;4407
4408;87.52;Appartement;4;4408
4409;30.53;Appartement;1;4409
4410;72.18;Appartement;3;4410
4411;43.95;Appartement;2;4411
4412;86.89;Appartement;3;4412
4413;89.21;Appartement;4;4413
4414;64.23;Appartement;3;4414
4415;65.95;Appartement;4;4415
4416;60.96;Appartement;4;4416
4417;50.54;Appartement;3;4417
4418;64.03;Appartement;3;4418
4419;72.53;Appartement;4;4419
4420;70.96;Appartement;3;4420
4421;67.93;Appartement;3;4421
4422;58.11;Appartement;3;4422
4423;29.31;Appartement;1;4423
4424;34.98;Appartement;1;4424
4425;80.25;Appartement;4;4425
4426;89.39;Appartement;1;4426
4427;47.1;Appartement;2;4427
4428;62.92;Appartement;3;4428
4429;35.12;Appartement;2;4429
4430;40.3;Appartement;2;4430
4431;75.21;Appartement;4;4431
4432;71.61;Appartement;4;4432
4433;64.38;Appartement;3;4433
4434;28.5;Appartement;1;4434
4435;69.83;Appartement;4;4435
4436;127.16;Appartement;5;4436
4437;41.49;Appartement;1;4437
4438;84.66;Appartement;5;4438
4439;48.97;Appartement;2;4439
4440;96.78;Appartement;3;4440
4441;95.18;Appartement;5;4441
4442;51.93;Appartement;2;4442
4443;72.99;Appartement;3;4443
4444;51.25;Appartement;1;4444
4445;58.57;Appartement;3;4445
4446;54.24;Appartement;3;4446
4447;42.66;Appartement;1;4447
4448;135.57;Appartement;4;4448
4449;128.56;Appartement;3;4449
4450;69.42;Appartement;3;4450
4451;76.69;Appartement;4;4451
4452;81.59;Appartement;4;4452
4453;83.99;Appartement;6;4453
4454;55.23;Appartement;2;4454
4455;75.9;Appartement;3;4455
4456;26.25;Appartement;1;4456
4457;21.04;Maison;3;4457
4458;92.13;Appartement;4;4458
4459;46.8;Appartement;4;4459
4460;78.44;Appartement;4;4460
4461;63.01;Appartement;3;4461
4462;72.57;Appartement;4;4462
4463;69.43;Appartement;3;4463
4464;38.82;Appartement;2;4464
4465;58.34;Appartement;3;4465
4466;91.55;Appartement;3;4466
4467;17.95;Appartement;1;4467
4468;58.5;Appartement;3;4468
4469;38;Appartement;2;4469
4470;70.12;Appartement;3;4470
4471;108.46;Appartement;5;4471
4472;91.5;Appartement;3;4472
4473;50.66;Appartement;2;4473
4474;63.99;Appartement;3;4474
4475;120.68;Appartement;4;4475
4476;152.78;Appartement;5;4476
4477;96.8;Appartement;4;4477
4478;50.39;Appartement;2;4478
4479;66;Appartement;3;4479
4480;66.97;Appartement;3;4480
4481;25.14;Appartement;1;4481
4482;31.67;Appartement;2;4482
4483;76.19;Appartement;3;4483
4484;54.93;Appartement;3;4484
4485;73.4;Appartement;3;4485
4486;40.31;Maison;3;4486
4487;62.41;Appartement;4;4487
4488;85.56;Appartement;3;4488
4489;66.81;Appartement;4;4489
4490;73.65;Appartement;4;4490
4491;53.13;Appartement;3;4491
4492;19.03;Appartement;1;4492
4493;51.75;Appartement;2;4493
4494;70.91;Appartement;4;4494
4495;49.19;Appartement;2;4495
4496;67.38;Appartement;3;4496
4497;66.52;Appartement;3;4497
4498;92.48;Appartement;4;4498
4499;111.39;Appartement;3;4499
4500;65.61;Appartement;3;4500
4501;73.03;Appartement;3;4501
4502;56.92;Appartement;3;4502
4503;97.65;Maison;4;4503
4504;66.67;Appartement;3;4504
4505;27.88;Appartement;1;4505
4506;67.26;Appartement;3;4506
4507;80.5;Appartement;3;4507
4508;54.07;Appartement;3;4508
4509;275;Appartement;3;4509
4510;57.8;Appartement;3;4510
4511;53.72;Appartement;3;4511
4512;94.9;Appartement;3;4512
4513;75.47;Appartement;3;4513
4514;64.63;Maison;3;4514
4515;58.64;Appartement;3;4515
4516;57.25;Appartement;3;4516
4517;32.97;Appartement;2;4517
4518;113.44;Appartement;4;4518
4519;73.82;Appartement;3;4519
4520;50.97;Appartement;3;4520
4521;15.58;Appartement;1;4521
4522;102.62;Appartement;5;4522
4523;131.02;Maison;5;4523
4524;62.64;Appartement;3;4524
4525;13.36;Appartement;2;4525
4526;41.66;Appartement;3;4526
4527;92.45;Maison;5;4527
4528;67.81;Appartement;3;4528
4529;35.43;Maison;2;4529
4530;117.67;Maison;5;4530
4531;107.8;Maison;5;4531
4532;46.78;Appartement;2;4532
4533;28.35;Maison;2;4533
4534;98.03;Appartement;5;4534
4535;58.57;Appartement;3;4535
4536;60.66;Appartement;3;4536
4537;33.43;Appartement;1;4537
4538;48.15;Appartement;2;4538
4539;105.43;Appartement;3;4539
4540;63.65;Appartement;4;4540
4541;84.3;Appartement;4;4541
4542;62.36;Appartement;4;4542
4543;52.98;Appartement;3;4543
4544;87.17;Appartement;4;4544
4545;32.55;Appartement;2;4545
4546;23.42;Appartement;1;4546
4547;73.18;Appartement;4;4547
4548;24.07;Appartement;2;4548
4549;69.35;Appartement;3;4549
4550;59.42;Appartement;3;4550
4551;20;Appartement;2;4551
4552;76.39;Appartement;3;4552
4553;26.42;Appartement;1;4553
4554;85.26;Appartement;4;4554
4555;21.9;Appartement;1;4555
4556;70.98;Appartement;3;4556
4557;81;Appartement;4;4557
4558;175;Maison;5;4558
4559;20.4;Appartement;1;4559
4560;62.01;Appartement;4;4560
4561;74.75;Appartement;3;4561
4562;68.69;Appartement;3;4562
4563;49.14;Appartement;2;4563
4564;83.79;Appartement;4;4564
4565;107.36;Maison;4;4565
4566;77.27;Appartement;4;4566
4567;59;Appartement;3;4567
4568;54.84;Appartement;2;4568
4569;95.21;Appartement;4;4569
4570;56.27;Appartement;3;4570
4571;81.79;Appartement;3;4571
4572;75.3;Appartement;3;4572
4573;28.35;Maison;3;4573
4574;52.83;Appartement;2;4574
4575;95.09;Appartement;4;4575
4576;155.08;Appartement;7;4576
4577;64.43;Appartement;4;4577
4578;48.42;Appartement;1;4578
4579;27.72;Appartement;2;4579
4580;84.89;Appartement;4;4580
4581;67.73;Appartement;4;4581
4582;87.33;Appartement;4;4582
4583;66.67;Appartement;4;4583
4584;56.2;Appartement;3;4584
4585;123.13;Maison;4;4585
4586;30.37;Appartement;2;4586
4587;58.08;Appartement;3;4587
4588;94;Appartement;2;4588
4589;73.52;Appartement;4;4589
4590;56.42;Appartement;3;4590
4591;74.43;Appartement;4;4591
4592;90.93;Appartement;4;4592
4593;42.07;Appartement;1;4593
4594;37.7;Appartement;1;4594
4595;76.72;Appartement;3;4595
4596;91.5;Appartement;5;4596
4597;105.07;Maison;4;4597
4598;86.04;Appartement;4;4598
4599;100.22;Maison;4;4599
4600;73;Appartement;3;4600
4601;52.16;Appartement;3;4601
4602;80.42;Appartement;3;4602
4603;17.63;Appartement;1;4603
4604;75.41;Appartement;3;4604
4605;31.63;Appartement;1;4605
4606;80.16;Appartement;4;4606
4607;55.05;Appartement;3;4607
4608;86.52;Appartement;4;4608
4609;59.5;Appartement;3;4609
4610;61.95;Appartement;4;4610
4611;69.21;Appartement;4;4611
4612;95.64;Maison;5;4612
4613;86;Maison;3;4613
4614;73.88;Appartement;4;4614
4615;60.01;Appartement;3;4615
4616;68.11;Appartement;3;4616
4617;112.36;Appartement;4;4617
4618;57.24;Appartement;3;4618
4619;95.64;Maison;4;4619
4620;76.94;Appartement;4;4620
4621;105.5;Appartement;3;4621
4622;68;Appartement;3;4622
4623;59.45;Appartement;3;4623
4624;69.5;Appartement;3;4624
4625;71.94;Appartement;3;4625
4626;75.94;Appartement;3;4626
4627;64.98;Appartement;4;4627
4628;121.94;Appartement;4;4628
4629;78.03;Appartement;3;4629
4630;122.67;Appartement;3;4630
4631;124.95;Maison;4;4631
4632;84.31;Appartement;3;4632
4633;28.85;Appartement;1;4633
4634;112.25;Appartement;6;4634
4635;58.06;Appartement;2;4635
4636;56.54;Appartement;3;4636
4637;62.01;Appartement;3;4637
4638;84.93;Appartement;3;4638
4639;103.39;Maison;4;4639
4640;77.7;Appartement;4;4640
4641;18.27;Appartement;1;4641
4642;26.74;Appartement;1;4642
4643;32.75;Appartement;2;4643
4644;57.57;Appartement;3;4644
4645;25.65;Appartement;2;4645
4646;71.31;Appartement;4;4646
4647;106.98;Maison;4;4647
4648;84;Appartement;3;4648
4649;80.52;Maison;4;4649
4650;55.02;Appartement;2;4650
4651;35.23;Appartement;2;4651
4652;44.74;Appartement;2;4652
4653;57.79;Appartement;4;4653
4654;73.57;Appartement;3;4654
4655;73.23;Appartement;3;4655
4656;100.69;Maison;4;4656
4657;82.18;Appartement;4;4657
4658;92.1;Maison;5;4658
4659;49.56;Appartement;2;4659
4660;34.27;Appartement;1;4660
4661;57.17;Appartement;4;4661
4662;45.29;Appartement;3;4662
4663;60.05;Appartement;3;4663
4664;90;Maison;4;4664
4665;95.67;Appartement;3;4665
4666;67.6;Appartement;3;4666
4667;95.05;Maison;5;4667
4668;75.36;Appartement;4;4668
4669;76.16;Appartement;3;4669
4670;91.84;Maison;5;4670
4671;97.77;Maison;4;4671
4672;73.34;Appartement;4;4672
4673;105.83;Maison;4;4673
4674;35.42;Appartement;1;4674
4675;56.55;Appartement;3;4675
4676;31.23;Appartement;1;4676
4677;32.89;Appartement;2;4677
4678;62.64;Appartement;4;4678
4679;62.62;Appartement;2;4679
4680;60.97;Appartement;3;4680
4681;70.24;Appartement;3;4681
4682;69.14;Appartement;3;4682
4683;155.83;Appartement;4;4683
4684;52.4;Appartement;2;4684
4685;99.88;Appartement;3;4685
4686;54.57;Appartement;3;4686
4687;72.98;Appartement;4;4687
4688;35.07;Appartement;1;4688
4689;99.95;Appartement;3;4689
4690;109.46;Appartement;5;4690
4691;72.12;Appartement;4;4691
4692;118.89;Appartement;4;4692
4693;40.43;Appartement;2;4693
4694;92;Maison;4;4694
4695;89;Appartement;4;4695
4696;17.9;Appartement;1;4696
4697;22.54;Appartement;1;4697
4698;17.44;Appartement;2;4698
4699;42.6;Appartement;1;4699
4700;15.73;Appartement;1;4700
4701;26.23;Appartement;2;4701
4702;46.46;Appartement;2;4702
4703;134.13;Maison;4;4703
4704;48.76;Appartement;3;4704
4705;115.51;Appartement;3;4705
4706;87.5;Appartement;3;4706
4707;79.92;Appartement;3;4707
4708;85.89;Appartement;5;4708
4709;25.87;Appartement;1;4709
4710;51;Appartement;2;4710
4711;38.4;Appartement;2;4711
4712;58.42;Appartement;3;4712
4713;56.8;Appartement;3;4713
4714;57.21;Appartement;2;4714
4715;60.07;Appartement;3;4715
4716;18.32;Appartement;1;4716
4717;14.22;Appartement;1;4717
4718;36.5;Appartement;2;4718
4719;66.99;Appartement;3;4719
4720;93.09;Appartement;4;4720
4721;45.25;Appartement;2;4721
4722;12.47;Appartement;1;4722
4723;65.47;Appartement;3;4723
4724;103.94;Appartement;4;4724
4725;63.08;Appartement;2;4725
4726;69.92;Maison;3;4726
4727;46.1;Appartement;3;4727
4728;66.23;Appartement;3;4728
4729;82.55;Appartement;3;4729
4730;22.8;Maison;4;4730
4731;51.49;Appartement;3;4731
4732;47.05;Appartement;2;4732
4733;66.21;Appartement;3;4733
4734;61.84;Appartement;3;4734
4735;37.75;Appartement;1;4735
4736;72.87;Appartement;3;4736
4737;74.36;Maison;3;4737
4738;123.5;Appartement;3;4738
4739;81.88;Appartement;3;4739
4740;55.59;Appartement;2;4740
4741;54.79;Appartement;2;4741
4742;64.96;Appartement;3;4742
4743;57.79;Appartement;3;4743
4744;22.45;Appartement;1;4744
4745;55.35;Appartement;2;4745
4746;90.99;Appartement;5;4746
4747;44.3;Appartement;2;4747
4748;88.15;Appartement;4;4748
4749;32.5;Appartement;1;4749
4750;10.84;Appartement;1;4750
4751;71.99;Maison;4;4751
4752;73.3;Appartement;4;4752
4753;43.66;Appartement;2;4753
4754;106.03;Maison;5;4754
4755;12.57;Appartement;1;4755
4756;44;Appartement;4;4756
4757;69.57;Appartement;3;4757
4758;65.63;Appartement;3;4758
4759;32.2;Appartement;2;4759
4760;54.53;Appartement;2;4760
4761;86;Appartement;5;4761
4762;98.03;Maison;4;4762
4763;66.38;Appartement;2;4763
4764;89;Appartement;4;4764
4765;65.2;Appartement;3;4765
4766;76.9;Maison;4;4766
4767;114.16;Maison;6;4767
4768;64.88;Appartement;3;4768
4769;30.81;Appartement;1;4769
4770;90.42;Maison;4;4770
4771;67.13;Appartement;3;4771
4772;97.95;Appartement;3;4772
4773;68.32;Appartement;3;4773
4774;72.55;Maison;3;4774
4775;34.51;Appartement;2;4775
4776;67.87;Appartement;1;4776
4777;40.98;Appartement;2;4777
4778;73.65;Appartement;3;4778
4779;93.69;Appartement;4;4779
4780;34.8;Appartement;2;4780
4781;58.41;Appartement;3;4781
4782;61.82;Appartement;2;4782
4783;72.69;Appartement;3;4783
4784;75.37;Appartement;3;4784
4785;38.54;Appartement;1;4785
4786;78.47;Appartement;3;4786
4787;29.92;Appartement;1;4787
4788;107.58;Maison;6;4788
4789;88.35;Appartement;4;4789
4790;43.68;Appartement;2;4790
4791;50.12;Appartement;3;4791
4792;61.18;Appartement;3;4792
4793;50.74;Appartement;2;4793
4794;50.52;Appartement;2;4794
4795;101.28;Maison;4;4795
4796;83.56;Appartement;4;4796
4797;41.66;Appartement;2;4797
4798;60.31;Appartement;3;4798
4799;88.47;Appartement;4;4799
4800;38.29;Appartement;1;4800
4801;51.95;Appartement;2;4801
4802;37.79;Appartement;2;4802
4803;94.05;Appartement;3;4803
4804;49.68;Maison;1;4804
4805;43.09;Appartement;2;4805
4806;54.74;Appartement;3;4806
4807;60.94;Appartement;2;4807
4808;48.19;Appartement;2;4808
4809;46.62;Appartement;2;4809
4810;77.62;Appartement;4;4810
4811;91.95;Appartement;5;4811
4812;84.33;Appartement;4;4812
4813;30.83;Appartement;1;4813
4814;77.9;Appartement;4;4814
4815;60.43;Appartement;3;4815
4816;73.37;Appartement;3;4816
4817;77.42;Appartement;3;4817
4818;101.15;Maison;4;4818
4819;60.75;Appartement;3;4819
4820;114.09;Maison;5;4820
4821;65.84;Maison;4;4821
4822;118.77;Appartement;4;4822
4823;112.82;Appartement;3;4823
4824;38.1;Appartement;2;4824
4825;37.95;Appartement;2;4825
4826;13.7;Appartement;1;4826
4827;61.1;Appartement;3;4827
4828;64.05;Appartement;3;4828
4829;43.26;Appartement;2;4829
4830;37.44;Appartement;1;4830
4831;46.44;Appartement;2;4831
4832;30.85;Appartement;1;4832
4833;14.26;Appartement;1;4833
4834;45.97;Appartement;2;4834
4835;48.6;Appartement;2;4835
4836;32.6;Appartement;2;4836
4837;74.65;Appartement;3;4837
4838;90.52;Appartement;4;4838
4839;19.1;Appartement;1;4839
4840;45.89;Appartement;2;4840
4841;84.94;Appartement;5;4841
4842;118.47;Appartement;4;4842
4843;73.73;Appartement;3;4843
4844;94.14;Maison;5;4844
4845;82.98;Appartement;4;4845
4846;84.68;Appartement;4;4846
4847;74.21;Appartement;3;4847
4848;71.41;Appartement;3;4848
4849;66.5;Appartement;3;4849
4850;18.5;Appartement;1;4850
4851;31.35;Appartement;1;4851
4852;29.42;Appartement;2;4852
4853;54.35;Appartement;3;4853
4854;16.03;Appartement;1;4854
4855;83.98;Appartement;4;4855
4856;19.1;Appartement;1;4856
4857;68.08;Appartement;3;4857
4858;27.11;Appartement;1;4858
4859;80.92;Appartement;4;4859
4860;34.63;Appartement;2;4860
4861;61.25;Appartement;2;4861
4862;27.76;Appartement;2;4862
4863;84.77;Appartement;4;4863
4864;26.11;Appartement;2;4864
4865;19.83;Appartement;1;4865
4866;75.64;Appartement;4;4866
4867;31.61;Appartement;1;4867
4868;26.81;Appartement;2;4868
4869;109.24;Appartement;4;4869
4870;66.6;Appartement;3;4870
4871;31.32;Appartement;2;4871
4872;29.25;Appartement;1;4872
4873;24.07;Appartement;1;4873
4874;11.03;Appartement;1;4874
4875;51.54;Appartement;2;4875
4876;28.22;Appartement;1;4876
4877;85.05;Appartement;4;4877
4878;53;Appartement;2;4878
4879;30.29;Appartement;2;4879
4880;29.71;Appartement;1;4880
4881;85.76;Maison;5;4881
4882;89.04;Maison;4;4882
4883;65.58;Appartement;3;4883
4884;29.54;Appartement;1;4884
4885;31.9;Appartement;2;4885
4886;45.26;Appartement;3;4886
4887;48.55;Appartement;2;4887
4888;11.1;Appartement;1;4888
4889;65.05;Appartement;4;4889
4890;68.64;Appartement;2;4890
4891;63.95;Appartement;3;4891
4892;31.45;Appartement;1;4892
4893;36.98;Appartement;1;4893
4894;80.51;Appartement;3;4894
4895;50.81;Appartement;2;4895
4896;48.81;Appartement;2;4896
4897;38.36;Appartement;2;4897
4898;77.99;Appartement;4;4898
4899;53.17;Appartement;3;4899
4900;78.18;Maison;4;4900
4901;9.81;Appartement;2;4901
4902;82.71;Appartement;3;4902
4903;66.78;Appartement;4;4903
4904;129.67;Appartement;6;4904
4905;43.57;Appartement;3;4905
4906;58.87;Appartement;3;4906
4907;78.63;Maison;4;4907
4908;56.09;Appartement;2;4908
4909;39.74;Appartement;2;4909
4910;53.85;Appartement;2;4910
4911;68.67;Appartement;4;4911
4912;14.61;Appartement;1;4912
4913;63.13;Appartement;3;4913
4914;24.2;Appartement;1;4914
4915;50.79;Appartement;3;4915
4916;59.66;Appartement;3;4916
4917;133.41;Maison;6;4917
4918;31.99;Appartement;2;4918
4919;61.83;Appartement;2;4919
4920;51.65;Appartement;2;4920
4921;66.52;Appartement;3;4921
4922;72.77;Maison;3;4922
4923;31.22;Appartement;2;4923
4924;78.28;Appartement;4;4924
4925;46.77;Appartement;2;4925
4926;46.76;Maison;3;4926
4927;56.33;Appartement;2;4927
4928;59.43;Appartement;3;4928
4929;67.62;Appartement;4;4929
4930;39.55;Appartement;2;4930
4931;65.77;Appartement;3;4931
4932;131;Maison;4;4932
4933;74.15;Maison;3;4933
4934;69.35;Maison;3;4934
4935;33.85;Appartement;1;4935
4936;114.41;Maison;4;4936
4937;133.49;Appartement;5;4937
4938;36.27;Appartement;2;4938
4939;44.84;Appartement;2;4939
4940;29.2;Appartement;1;4940
4941;57.31;Appartement;3;4941
4942;64.3;Appartement;3;4942
4943;67.79;Appartement;4;4943
4944;29.84;Appartement;1;4944
4945;66.85;Appartement;3;4945
4946;17.28;Appartement;1;4946
4947;16.51;Appartement;1;4947
4948;84.69;Appartement;5;4948
4949;46.94;Appartement;2;4949
4950;30.86;Appartement;1;4950
4951;31.82;Appartement;2;4951
4952;40.29;Appartement;2;4952
4953;61.73;Appartement;4;4953
4954;53.35;Appartement;3;4954
4955;48.96;Appartement;3;4955
4956;68.8;Appartement;3;4956
4957;74.54;Appartement;4;4957
4958;68;Appartement;2;4958
4959;39.23;Appartement;2;4959
4960;56.57;Appartement;4;4960
4961;32.89;Maison;2;4961
4962;65.2;Appartement;2;4962
4963;109.82;Maison;4;4963
4964;17.03;Appartement;1;4964
4965;37.36;Appartement;2;4965
4966;28.73;Maison;2;4966
4967;52.72;Appartement;3;4967
4968;51.16;Appartement;3;4968
4969;27.82;Appartement;1;4969
4970;67.27;Appartement;4;4970
4971;46.99;Appartement;2;4971
4972;53.11;Appartement;3;4972
4973;20.34;Appartement;1;4973
4974;73.51;Appartement;4;4974
4975;66.21;Appartement;3;4975
4976;72.6;Appartement;4;4976
4977;65.41;Appartement;4;4977
4978;57.2;Appartement;3;4978
4979;75.01;Appartement;3;4979
4980;70.1;Appartement;4;4980
4981;67.84;Appartement;3;4981
4982;72.54;Appartement;4;4982
4983;86.5;Appartement;4;4983
4984;63.78;Appartement;4;4984
4985;99.11;Maison;4;4985
4986;63.35;Appartement;3;4986
4987;36;Appartement;1;4987
4988;55.81;Appartement;3;4988
4989;59.58;Appartement;2;4989
4990;18;Appartement;1;4990
4991;50.11;Appartement;2;4991
4992;110.05;Appartement;5;4992
4993;57.05;Appartement;2;4993
4994;62;Appartement;4;4994
4995;42.39;Appartement;2;4995
4996;50.8;Appartement;2;4996
4997;42.07;Appartement;2;4997
4998;66.35;Appartement;4;4998
4999;61.63;Appartement;4;4999
5000;67.9;Appartement;4;5000
5001;51.97;Appartement;3;5001
5002;57.25;Appartement;3;5002
5003;60.54;Appartement;3;5003
5004;50.39;Appartement;3;5004
5005;79.92;Appartement;4;5005
5006;51.91;Appartement;3;5006
5007;24.07;Appartement;1;5007
5008;66.3;Appartement;4;5008
5009;67.49;Appartement;4;5009
5010;74.6;Appartement;4;5010
5011;53.07;Appartement;2;5011
5012;31.06;Appartement;1;5012
5013;64.24;Appartement;3;5013
5014;61.46;Appartement;3;5014
5015;27.96;Appartement;1;5015
5016;46.98;Appartement;2;5016
5017;95.84;Appartement;5;5017
5018;51.86;Appartement;2;5018
5019;31.26;Appartement;2;5019
5020;49.3;Appartement;2;5020
5021;59.81;Appartement;3;5021
5022;69.07;Appartement;3;5022
5023;78.82;Appartement;4;5023
5024;28.25;Appartement;2;5024
5025;62.4;Appartement;4;5025
5026;26.29;Appartement;1;5026
5027;49.84;Appartement;3;5027
5028;67.21;Appartement;3;5028
5029;54.26;Appartement;3;5029
5030;26;Appartement;1;5030
5031;46.58;Appartement;2;5031
5032;65.6;Appartement;4;5032
5033;79.09;Maison;4;5033
5034;57.38;Appartement;3;5034
5035;20.72;Appartement;3;5035
5036;74.84;Appartement;3;5036
5037;79.82;Maison;4;5037
5038;55.14;Appartement;2;5038
5039;95;Maison;6;5039
5040;38.51;Appartement;2;5040
5041;53.74;Appartement;3;5041
5042;58.99;Appartement;3;5042
5043;74.78;Appartement;4;5043
5044;57.69;Appartement;3;5044
5045;44.32;Appartement;2;5045
5046;47.45;Appartement;3;5046
5047;97;Appartement;4;5047
5048;42.93;Appartement;2;5048
5049;115.82;Maison;4;5049
5050;42.58;Appartement;2;5050
5051;23.01;Appartement;1;5051
5052;61.3;Appartement;3;5052
5053;35.58;Appartement;2;5053
5054;43.7;Appartement;2;5054
5055;42.16;Appartement;1;5055
5056;58.05;Appartement;3;5056
5057;65;Appartement;4;5057
5058;27;Appartement;1;5058
5059;62.33;Appartement;3;5059
5060;76.52;Appartement;3;5060
5061;70.31;Appartement;4;5061
5062;29.95;Appartement;1;5062
5063;89.8;Appartement;5;5063
5064;82.92;Maison;4;5064
5065;47.23;Appartement;1;5065
5066;54.38;Appartement;3;5066
5067;24.81;Appartement;1;5067
5068;134.5;Maison;5;5068
5069;31.08;Appartement;1;5069
5070;17.71;Appartement;3;5070
5071;133.77;Appartement;5;5071
5072;41.77;Appartement;1;5072
5073;73.05;Appartement;3;5073
5074;105.04;Appartement;4;5074
5075;58.01;Appartement;2;5075
5076;44.04;Appartement;2;5076
5077;92.7;Appartement;4;5077
5078;64.39;Appartement;3;5078
5079;32.16;Maison;2;5079
5080;42.2;Appartement;2;5080
5081;73.58;Appartement;4;5081
5082;30.41;Appartement;1;5082
5083;55.12;Appartement;3;5083
5084;52.43;Appartement;1;5084
5085;87.16;Appartement;4;5085
5086;24.64;Appartement;1;5086
5087;18.76;Appartement;1;5087
5088;28.5;Appartement;1;5088
5089;37.59;Maison;2;5089
5090;55.44;Appartement;3;5090
5091;44.61;Appartement;2;5091
5092;201.85;Appartement;6;5092
5093;12.5;Appartement;2;5093
5094;72;Appartement;3;5094
5095;32.51;Appartement;2;5095
5096;45.58;Appartement;2;5096
5097;27.17;Appartement;1;5097
5098;54.22;Appartement;1;5098
5099;37;Appartement;2;5099
5100;37.78;Appartement;2;5100
5101;91.09;Appartement;3;5101
5102;30.73;Maison;1;5102
5103;68.06;Appartement;2;5103
5104;40.8;Appartement;2;5104
5105;7.35;Appartement;2;5105
5106;47.05;Appartement;3;5106
5107;33.57;Appartement;3;5107
5108;91.82;Appartement;4;5108
5109;82.26;Appartement;3;5109
5110;40.5;Appartement;2;5110
5111;78.55;Appartement;3;5111
5112;71.51;Appartement;3;5112
5113;86.46;Appartement;3;5113
5114;122.3;Appartement;4;5114
5115;75.83;Appartement;3;5115
5116;27.73;Appartement;1;5116
5117;37.48;Maison;3;5117
5118;83.58;Appartement;3;5118
5119;40.32;Appartement;2;5119
5120;46.77;Appartement;3;5120
5121;45.98;Appartement;2;5121
5122;54.99;Appartement;2;5122
5123;54.36;Appartement;2;5123
5124;26.17;Maison;1;5124
5125;38.2;Appartement;2;5125
5126;50.17;Appartement;2;5126
5127;29.98;Appartement;2;5127
5128;30.49;Appartement;2;5128
5129;63.38;Appartement;1;5129
5130;92.95;Maison;3;5130
5131;45.15;Appartement;2;5131
