index_adresse;numero_voie;complement_numero_voie;type_de_voie;nom_voie;code_postal;commune
3979;5;;RUE;EUGENE PELLETAN;17 100 ;SAINTES
3980;12;;RUE;DES BANCS;17 400 ;ST JEAN D'ANGELY
3981;4;;RUE;MOLIERE;18 100 ;VIERZON
3982;62;;BD;DE JURANVILLE;18 000 ;BOURGES
3983;1;;RUE;DE LINIERES;18 000 ;BOURGES
3984;35;;RUE;JEAN JACQUES ROUSSEAU;18 000 ;BOURGES
3985;15;;RUE;JEAN JACQUES ROUSSEAU;18 000 ;BOURGES
3986;14;;BD;DE LA LIBERTE;18 100 ;VIERZON
3987;45;;RUE;HENRI SELLIER;18 000 ;BOURGES
3988;2;;RUE;JACQUES BONNAFE;18 400 ;SAINT-FLORENT-SUR-CHER
3989;25;;RUE;JEAN JACQUES ROUSSEAU;18 000 ;BOURGES
3990;12;;RUE;CATHERINOT;18 000 ;BOURGES
3991;17;;RUE;HENRI SELLIER;18 000 ;BOURGES
3992;11;C;RUE;MARCEL SEMBAT;18 100 ;VIERZON
3993;76;C;RUE;JEAN BAPTISTE CLEMENT;18 100 ;VIERZON
3994;30;;CRS;AVARICUM;18 000 ;BOURGES
3995;48;;RUE;EDOUARD VAILLANT;18 000 ;BOURGES
3996;3;;AV;PIERRE SEMARD;18 100 ;VIERZON
3997;9;;BD;D AURON;18 000 ;BOURGES
3998;35;;RUE;BOURBONNOUX;18 000 ;BOURGES
3999;63;;RUE;LITTRE;18 000 ;BOURGES
4000;11;;RUE;DU COMMERCE;18 000 ;BOURGES
4001;6;;CHE;DU GRAND MAZIERES;18 000 ;BOURGES
4002;17;;RUE;RONSARD;18 000 ;BOURGES
4003;2;A;RUE;DE L ILE D OR;18 000 ;BOURGES
4004;38;;RUE;DE TURLY;18 000 ;BOURGES
4005;54;;RUE;BARBES;18 000 ;BOURGES
4006;96;B;AV;FRANCOIS MITTERRAND;18 000 ;BOURGES
4007;29;;RUE;DES ARENES;18 000 ;BOURGES
4008;14;;BD;DE LA LIBERTE;18 100 ;VIERZON
4009;13;;RUE;NOTRE DAME;18 000 ;BOURGES
4010;36;;RUE;DE TURLY;18 000 ;BOURGES
4011;5;;IMP;DE L ANNAIN;18 500 ;MEHUN-SUR-YEVRE
4012;7;;RUE;DE LORROY;18 000 ;BOURGES
4013;6;;RUE;PAUL COMMENGE;18 000 ;BOURGES
4014;9;B;RUE;LOUIS MALLET;18 000 ;BOURGES
4015;15;;PL;DES QUATRE PILIERS;18 000 ;BOURGES
