index_adresse;numero_voie;complement_numero_voie;type_de_voie;nom_voie;code_postal;commune
3346;40;;TSSE;MONTCAULT;13 013 ;MARSEILLE 13EME
3347;26;;AV;COROT;13 013 ;MARSEILLE 13EME
3348;80;;BD;BARRY;13 013 ;MARSEILLE 13EME
3349;64;;BD;TRISTAN CORBIERE;13 012 ;MARSEILLE 12EME
3350;19;;TSSE;LAZARE BARIELLE;13 013 ;MARSEILLE 13EME
3351;12;;GR;GRAND RUE;13 190 ;ALLAUCH
3352;282;;AV;DE MONTOLIVET;13 012 ;MARSEILLE 12EME
3353;40;;AV;ESCAD NORMANDIE NIEMEN;13 013 ;MARSEILLE 13EME
3354;89;;CHE;DES JONQUILLES;13 013 ;MARSEILLE 13EME
3355;16;;PL;DES HEROS;13 013 ;MARSEILLE 13EME
3356;84;;AV;SAINT JEROME;13 013 ;MARSEILLE 13EME
3357;134;;TRA;DE LA PENNE;13 011 ;MARSEILLE 11EME
3358;8;;BD;DEBORD;13 012 ;MARSEILLE 12EME
3359;12;;PARC;DES CHUTES LAVIE;13 013 ;MARSEILLE 13EME
3360;180;;TRA;DE LA PENNE;13 011 ;MARSEILLE 11EME
